Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000818	9354	csn-6
WBGene00000819	40	csp-1
WBGene00000820	22	csp-2
WBGene00000821	14	csp-3
WBGene00000822	2854	csq-1
WBGene00000829	73236	ctb-1
WBGene00000830	28	ctl-1
WBGene00000831	3431	ctl-2
WBGene00000832	2456	ctn-1
WBGene00000833	51046	cts-1
WBGene00000834	11640	cua-1
WBGene00000835	1678	cuc-1
WBGene00000836	14467	cul-1
WBGene00000837	22548	cul-2
WBGene00000838	22719	cul-3
WBGene00000839	8780	cul-4
WBGene00000840	7885	cul-5
WBGene00000841	283	cul-6
WBGene00000843	8347	cup-2
WBGene00000845	422	cup-4
WBGene00000846	9036	cup-5
WBGene00000851	12	cut-1
WBGene00000853	129	cut-6
WBGene00000854	5253	cux-7
WBGene00000857	284	cwn-1
WBGene00000858	136	cwn-2
WBGene00000859	0	cwp-1
WBGene00000860	4	cwp-2
WBGene00000861	2	cwp-3
WBGene00000862	65	cwp-4
WBGene00000863	9741	cya-1
WBGene00000864	32	cya-2
WBGene00000865	49323	cyb-1
WBGene00000866	8406	cyb-2.1
WBGene00000867	13662	cyb-2.2
WBGene00000868	92688	cyb-3
WBGene00000869	22750	cyc-1
WBGene00000870	1988	cyd-1
WBGene00000871	15934	cye-1
WBGene00000872	9911	cyk-1
WBGene00000874	8819	cyk-3
WBGene00000875	25555	cyk-4
WBGene00000876	11137	cyl-1
WBGene00000877	5865	cyn-1
WBGene00000878	183	cyn-2
WBGene00000879	14119	cyn-3
WBGene00000880	8513	cyn-4
WBGene00000881	19922	cyn-5
WBGene00000882	1116	cyn-6
WBGene00000883	76215	cyn-7
WBGene00000884	5747	cyn-8
WBGene00000885	3497	cyn-9
WBGene00000886	3497	cyn-10
WBGene00000887	3187	cyn-11
WBGene00000888	3746	cyn-12
WBGene00000889	7083	cyn-13
WBGene00000890	6311	sig-7
WBGene00000891	6841	cyn-15
WBGene00000892	4989	cyn-16
WBGene00000893	10	cyn-17
WBGene00000894	32319	dab-1
WBGene00000895	51	dac-1
WBGene00000896	8667	dad-1
WBGene00000897	2909	daf-1
WBGene00000898	19393	daf-2
WBGene00000899	2024	daf-3
WBGene00000900	4214	daf-4
WBGene00000901	3496	daf-5
WBGene00000902	80	daf-6
WBGene00000903	185	daf-7
WBGene00000904	796	daf-8
WBGene00000905	43	daf-9
WBGene00000906	98	daf-10
WBGene00000907	21	daf-11
WBGene00000908	1233	daf-12
WBGene00000910	581	daf-14
WBGene00000911	22490	daf-15
WBGene00000912	14342	daf-16
WBGene00000913	60417	daf-18
WBGene00000914	2986	daf-19
WBGene00000915	208472	hsp-90
WBGene00000917	2457	daf-25
WBGene00000920	203	daf-28
WBGene00000923	4670	daf-31
WBGene00000928	500	dao-2
WBGene00000929	3337	dao-3
WBGene00000930	2	dao-4
WBGene00000931	28132	dao-5
WBGene00000932	35	dao-6
WBGene00000933	3776	dap-3
WBGene00000934	40	dat-1
WBGene00000935	34796	daz-1
WBGene00000936	251	dbl-1
WBGene00000937	4682	dbr-1
WBGene00000938	11659	dcp-66
WBGene00000939	20971	dcr-1
WBGene00000940	4570	dcs-1
WBGene00000941	2196	ddp-1
WBGene00000942	1899	deb-1
WBGene00000950	244	deg-1
WBGene00000951	105	deg-3
WBGene00000952	40	del-1
WBGene00000953	72	del-2
WBGene00000955	135	des-2
WBGene00000958	351	dgk-1
WBGene00000959	1568	dgk-2
WBGene00000960	34	dgk-3
WBGene00000961	5510	dgn-1
WBGene00000962	74233	dhc-1
WBGene00000963	488	dhp-1
WBGene00000964	398	dhp-2
WBGene00000965	5479	dhs-1
WBGene00000966	1426	dhs-2
WBGene00000967	2127	dhs-3
WBGene00000968	31	dhs-4
WBGene00000969	1162	dhs-5
WBGene00000970	5773	dhs-6
WBGene00000971	52	dhs-7
WBGene00000972	244	dhs-8
WBGene00000973	1603	dhs-9
WBGene00000974	1847	dhs-11
WBGene00000975	3261	dhs-12
WBGene00000976	8934	dhs-13
